,Unnamed: 0,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,Approx Gpu,Model_x,Benchmark_x,Model_y,Benchmark_y,Cpu percentile,Gpu percentile,Weight percentile,Ram percentile,Size percentile,Pixels,Pixel percentile,Price percentile
15,174,Huawei,MateBook X,Ultrabook,13.0,IPS Panel Full HD 2160x1440,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.05,1349.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.007582938388625592,0.514218009478673,0.03364928909952607,2160,0.9511848341232227,0.6597156398104265
16,196,Xiaomi,Mi Notebook,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Nvidia GeForce MX150,No OS,1.3,999.9,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.11895734597156399,0.514218009478673,0.10236966824644549,1920,0.5857819905213271,0.4540284360189573
17,213,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.2,597.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.6189573459715639,0.514218009478673,0.5976303317535545,1366,0.12132701421800947,0.13696682464454976
18,233,Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,17.3,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD +  500GB HDD,Nvidia GeForce GTX 950M,Windows 10,2.69,891.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.8668246445497629,0.514218009478673,0.928909952606635,1920,0.5857819905213271,0.3677725118483412
19,272,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,4.0,1TB HDD,Intel HD Graphics 620,No OS,2.2,467.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.6189573459715639,0.11137440758293839,0.5976303317535545,1920,0.5857819905213271,0.05118483412322274
20,307,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Core i5 7200U,6.0,1TB HDD,Nvidia GeForce GTX 940M,Windows 10,2.8,649.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.8990521327014218,0.23507109004739338,0.928909952606635,1600,0.21327014218009477,0.17819905213270143
21,313,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.3,819.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.7018957345971565,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.3127962085308057
22,323,HP,ProBook 640,Notebook,14.0,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.95,980.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.40568720379146916,0.514218009478673,0.25687203791469193,1920,0.5857819905213271,0.43601895734597157
23,337,Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.0,943.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.43981042654028435,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.40568720379146916
24,425,Dell,Inspiron 3567,Notebook,15.6,1366x768,Core i5 7200U,8.0,1TB HDD,Intel HD Graphics 620,Windows 10,2.14,539.95,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.542654028436019,0.514218009478673,0.5976303317535545,1366,0.12132701421800947,0.0966824644549763
